id,name,time_zone
Austria,Austria,Etc/GMT-1
Belgium,Belgium,Etc/GMT-1
Bulgaria,Bulgaria,Etc/GMT-2
Croatia,Croatia,Etc/GMT-1
Czech Republic,Czech Republic,Etc/GMT-1
Denmark,Denmark,Etc/GMT-1
Estonia,Estonia,Etc/GMT-2
Finland,Finland,Etc/GMT-2
France,France,Etc/GMT-1
Germany,Germany,Etc/GMT-1
Greece,Greece,Etc/GMT-2
Hungary,Hungary,Etc/GMT-1
Italy,Italy,Etc/GMT-1
Latvia,Latvia,Etc/GMT-2
Lithuania,Lithuania,Etc/GMT-2
Netherlands,Netherlands,Etc/GMT-1
Norway,Norway,Etc/GMT-1
Poland,Poland,Etc/GMT-1
Portugal,Portugal,Etc/GMT
Romania,Romania,Etc/GMT-2
Slovakia,Slovakia,Etc/GMT-1
Slovenia,Slovenia,Etc/GMT-1
Spain,Spain,Etc/GMT-1
Sweden,Sweden,Etc/GMT-1
Switzerland,Switzerland,Etc/GMT-1
